Q,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_3d(8),J_4s(2),J_total_Ni
1.6500000000000001,0.030801804460044,0.10065514714899866,0.05920672208957988,0.09757781956423582,0.14652461322267094,0.13623399128448496,0.016345676689676916,2.815020837875296
1.7000000000000002,0.030780636892139807,0.09974206421528445,0.059171215140507515,0.09117370919317394,0.14236957610355064,0.1330936551095822,0.015280672855422277,2.7479481546530478
1.75,0.030758857524281723,0.09881169812657156,0.05913283654854614,0.08508982399453126,0.13816087354336182,0.12993383103566056,0.01422938944037247,2.681012447008246
1.8,0.030736468149388848,0.09786479453700353,0.05909146753263398,0.07932743169364916,0.13391288793475237,0.12676421693155884,0.01320327373626755,2.614403804489407
1.85,0.03071347061026912,0.09690210253962482,0.0590469907831291,0.07388568514762697,0.12963963004711015,0.1235937901213191,0.012211272136089307,2.548295106819209
1.9000000000000001,0.03068986679898631,0.09592437354244321,0.05899929072817446,0.06876181717737653,0.12535463496293825,0.12043080516062425,0.01126013280535031,2.482842376079983
1.9500000000000002,0.030665658656293608,0.09493236020888972,0.058948253792241084,0.0639513359628345,0.1210708735258102,0.11728280159253959,0.010354711311166657,2.418185308926993
2.0,0.03064084817112724,0.09392681545850547,0.05889376864615331,0.05944821852883503,0.11680067882558033,0.11415661968567015,0.009498261738361335,2.3544479301094214
2.0500000000000003,0.030615437380152453,0.09290849152316594,0.05883572644795596,0.05524510016259498,0.11255568704649398,0.11105842246350035,0.00869270388201808,2.2917393265705654
2.1,0.030589428367353684,0.09187813905399357,0.05877402107404314,0.05133345791432865,0.10834679184894566,0.10799372258989716,0.007938862292447774,2.230154433513357
2.15,0.030562823263660596,0.09083650627421151,0.05870854934003194,0.047703786635135276,0.10418411134119933,0.10496741289059504,0.007236676173687336,2.169774851905537
2.2,0.030535624246602135,0.08978433817347585,0.05863921121092925,0.0443457662965838,0.10007696661873605,0.10198379947189457,0.006585381048873891,2.1106696822842195
2.25,0.03050783353998112,0.08872237573962583,0.05856591000020529,0.041248419610641636,0.09603387080145168,0.09904663655276126,0.005983664157958241,2.0528963633284456
2.3000000000000003,0.030479453413562667,0.08765135522426137,0.05848855255745202,0.03840025922379477,0.09206252747831414,0.09615916226065825,0.005429796055941898,1.9965015061349842
2.35,0.030450486182770433,0.08657200743905713,0.058407049444367504,0.03578942399316399,0.08816983747118126,0.09332413475908294,0.004921741042500758,1.9415217168809407
2.4000000000000004,0.030420934208385448,0.08548505708022236,0.05832131509886797,0.03340380406363341,0.08436191285043095,0.0905438681790038,0.004457249014893543,1.8879844018620933
2.45,0.030390799896243083,0.08439122207899837,0.058231267987186766,0.031231154652658036,0.08064409717134462,0.08782026791935423,0.004033931185021896,1.8359085499318648
2.5,0.030360085696924378,0.08329121297653337,0.0581368307438737,0.0292591986132897,0.07702099094859198,0.08515486496485025,0.0036493218949861152,1.7853054882370631
2.5500000000000003,0.030328794105438674,0.08218573232188298,0.058037930299659014,0.027475717986390612,0.07349648144381034,0.08254884894359463,0.003300928538139406,1.7361796079132765
2.6,0.03029692766089508,0.08107547409224508,0.057934497997193045,0.025868634870764157,0.07007377590557824,0.0800030997128266,0.0029862713648981885,1.6885290570968454
2.6500000000000004,0.030264488946160822,0.0799611231348515,0.05782646969471597,0.024426082036175585,0.0667554374697957,0.0775182173192344,0.002702914735748748,1.6423463992468188
2.7,0.030231480587505116,0.07884335463020403,0.05771378585775148,0.023136463780388857,0.06354342299964288,0.07509455023085415,0.002448491183689108,1.5976192353547736
2.75,0.03019790525422744,0.07772283357656114,0.05759639163895405,0.02198850758904204,0.060439122216219165,0.07273222178111634,0.0022207194670447647,1.5543307891537208
2.8000000000000003,0.03016376565826966,0.07660021429575782,0.0574742369462722,0.020971307198188145,0.05744339754226532,0.07043115480248911,0.0020174176315137563,1.512460454918597
