Q,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_3d(10),J_4s(1),J_total_Cu
31.05,0.0028295785508039976,0.000493796919264764,0.00010730531447290703,7.531838438115675e-05,1.625841205829415e-05,2.0681690714575367e-07,2.2887237986771227e-06,0.007543126960957178
31.1,0.0028148890033171644,0.0004907745504407969,0.00010622403587366383,7.484638015999747e-05,1.6096050004762937e-05,2.039552612168368e-07,2.274336580116749e-06,0.007499254272298764
31.150000000000002,0.002800278058037808,0.0004877712679412657,0.00010515472365708935,7.437742847398598e-05,1.5935465670343366e-05,2.011366903507835e-07,2.2600426777899354e-06,0.007455666054452013
31.200000000000003,0.002785745314076439,0.00048478696117071026,0.00010409723432206317,7.391151129477176e-05,1.5776637993254678e-05,1.983604945175257e-07,2.2458415396915556e-06,0.007412360253460616
31.25,0.002771290372146257,0.00048182151989538185,0.00010305142621058588,7.344861065057129e-05,1.56195461786923e-05,1.9562598589348236e-07,2.231732615527046e-06,0.007369334832194551
31.3,0.0027569128345633306,0.00047887483424827274,0.00010201715948269645,7.298870862716461e-05,1.5464169695244608e-05,1.9293248863435117e-07,2.2177153567439306e-06,0.00732658777018827
31.35,0.002742612305246675,0.00047594679473398255,0.00010099429609174809,7.253178736885931e-05,1.5310488271360163e-05,1.902793386523975e-07,2.203789216562328e-06,0.007284117063480769
31.400000000000002,0.0027283883897182087,0.00047303729223342067,9.99826997600357e-05,7.207782907942228e-05,1.5158481891864492e-05,1.876658833981425e-07,2.189953650004442e-06,0.0072419207244574894
31.450000000000003,0.002714240695102609,0.0004701462180083513,9.898223595477112e-05,7.162681602298034e-05,1.500813079452585e-05,1.850914816463613e-07,2.1762081139230636e-06,0.00719999678169405
31.5,0.002700168830127058,0.0004672734637057826,9.799277186440032e-05,7.117873052489001e-05,1.4859415466669202e-05,1.825555032863001e-07,2.1625520670291135e-06,0.0071583432798017705
31.55,0.0026861724051208805,0.00046441892136220243,9.701417637525743e-05,7.073355497257717e-05,1.4712316641837649e-05,1.80057329116023e-07,2.1489849699182236e-06,0.00711695827927497
31.6,0.0026722510320150864,0.00046158248340766686,9.604632004855149e-05,7.029127181634754e-05,1.4566815296500807e-05,1.775963506408057e-07,2.1355062850964037e-06,0.007075839856340019
31.650000000000002,0.0026584043243418026,0.0004587640426697396,9.508907509767977e-05,6.985186357016802e-05,1.4422892646809202e-05,1.7517196987548764e-07,2.1221154770047947e-06,0.007034986102806115
31.700000000000003,0.0026446318972336105,0.00045596349237728926,9.41423153658638e-05,6.941531281241997e-05,1.4280530145394205e-05,1.727835991507031e-07,2.108812012043531e-06,0.006994395125917738
