E0_keV,Eprime_keV,E0_minus_Eprime_keV,theta_deg,q_gamma_keV_c,Q_au,Q_absolute_au
662.0,383.1015266286018,278.8984733713982,30.0,381.75884197562385,48.945297019346384,48.945297019346384
662.0,377.8985214651993,284.1014785348007,30.0,384.3776576757746,49.76735465304356,49.76735465304356
662.0,390.2670298948497,271.7329701051503,30.0,378.23973342103,47.75204711846924,47.75204711846924
662.0,186.45591087542294,475.54408912457706,30.0,509.1327638379227,59.75289813418734,59.75289813418734
662.0,577.2157568563532,84.78424314364679,30.0,331.0230568656139,-9.29075310475035,9.29075310475035
662.0,121.30138955468774,540.6986104453123,30.0,560.2425499207674,57.15880892359432,57.15880892359432
662.0,578.130617161545,83.86938283845495,30.0,331.0351186110828,-9.672527249288096,9.672527249288096
662.0,226.05314927454683,435.94685072545315,30.0,479.73690600107426,60.22670561533074,60.22670561533074
662.0,294.78962996329346,367.21037003670654,30.0,432.58980306712135,58.34531096653758,58.34531096653758
662.0,187.87510716365028,474.1248928363497,30.0,508.05525773635685,59.78605407314418,59.78605407314418
662.0,173.0891535524919,488.9108464475081,30.0,519.3618962288334,59.38709601798139,59.38709601798139
662.0,164.28344005248803,497.716559947512,30.0,526.1774978434595,59.09546758184716,59.09546758184716
662.0,518.0262118673953,143.97378813260468,30.0,335.58481262417524,13.800210467108029,13.800210467108029
662.0,389.3382281026919,272.6617718973081,30.0,378.6900813218564,47.91075483330197,47.91075483330197
662.0,245.4741860885797,416.5258139114203,30.0,465.8718122241374,60.0792071134306,60.0792071134306
662.0,532.9419553249812,129.05804467501878,30.0,333.4523707310205,8.33002514654151,8.33002514654151
662.0,391.78270405536966,270.21729594463034,30.0,377.5085824079049,47.49045651201935,47.49045651201935
662.0,614.6718870387313,47.328112961268744,30.0,333.5744347784656,-25.295424912333186,25.295424912333186
662.0,425.7560108053038,236.2439891946962,30.0,362.39871785924515,40.75685188207906,40.75685188207906
662.0,498.69526188087156,163.30473811912844,30.0,339.3054415317767,20.46668303768824,20.46668303768824
662.0,641.0233285169813,20.976671483018663,30.0,337.85537590607777,-36.808927654109546,36.808927654109546
662.0,390.37624286648315,271.62375713351685,30.0,378.1868939966226,47.73330598825078,47.73330598825078
662.0,478.5876834718656,183.4123165281344,30.0,344.2863534831013,26.850713960942134,26.850713960942134
662.0,197.557633248521,464.44236675147897,30.0,500.74939073359855,59.981825397184615,59.981825397184615
662.0,523.53695030357,138.46304969642995,30.0,334.7211357904335,11.810765338718376,11.810765338718376
662.0,241.63072012633287,420.3692798736671,30.0,468.5844215808495,60.130247840578775,60.130247840578775
662.0,228.918854473549,433.081145526451,30.0,477.6666688175486,60.22187194305054,60.22187194305054
662.0,317.57310685785285,344.42689314214715,30.0,418.28429757529705,56.77699228738036,56.77699228738036
662.0,372.26725935394467,289.73274064605533,30.0,387.27084582176786,50.615720638811986,50.615720638811986
662.0,204.75696913666047,457.2430308633395,30.0,495.3700281491793,60.09180745066289,60.09180745066289
662.0,372.2527243674177,289.7472756325823,30.0,387.2783914801414,50.617855359880075,50.617855359880075
662.0,362.273630560116,299.726369439884,30.0,392.5517163948898,52.01770112268973,52.01770112268973
662.0,399.4556399343039,262.5443600656961,30.0,373.87956253583917,46.1162528703616,46.1162528703616
662.0,453.84141979958434,208.15858020041566,30.0,351.89978554524345,33.89000338772513,33.89000338772513
662.0,269.02931857696916,392.97068142303084,30.0,449.60762153945217,59.51249113830048,59.51249113830048
662.0,276.579465753376,385.420534246624,30.0,444.53268504399574,59.232746090613624,59.232746090613624
662.0,501.1486629779943,160.85133702200568,30.0,338.77439081568775,19.648519740890745,19.648519740890745
662.0,252.3903861052097,409.6096138947903,30.0,461.0310613005658,59.9589252101557,59.9589252101557
